,,,,,,,,,
,เก็บ log ไม่เกิน 1 เดือน,,,,,,,,
,,,,,,,,,
No.,Category,Alarm Name (EN),Alarm Name (TH),Data,Corrective Action,Remark,,,
1,Safety & Compliance,Emergency Stop Activated,ปุ่มหยุดฉุกเฉินถูกกด,"io check  : timestamp , csv",ใส่วิธีแก้ปัญหา ,LED - RED,,,
2,Safety & Compliance,Safety Scanner Triggered,เซฟตี้สแกนเนอร์ทำงาน,เช็ตการทำงานของlidar ,ใส่วิธีแก้ปัญหา ,LED - RED  ,,,
3,Safety & Compliance,Safety Zone Violation,ละเมิดเขตความปลอดภัย,check wall zone robot pose,ใส่วิธีแก้ปัญหา ,LED - RED  ,,,
4,Safety & Compliance,Reduced Speed Zone Violation,ละเมิดโซนจำกัดความเร็ว,speed zone robot pose check,ใส่วิธีแก้ปัญหา ,LED - RED   ทำงานต่อ,,,
5,Localization & Mapping,Lost Localization,ไม่สามารถระบุตำแหน่งได้,amcl poseไม่ขึ้นให้เซฟ log,ใส่วิธีแก้ปัญหา ,LED - RED หยุด,,,
6,Localization & Mapping,Localization Accuracy Low,ความแม่นยำของตำแหน่งต่ำ,alarm ตอนยก dolly ไม่ได้ ,ใส่วิธีแก้ปัญหา ,LED - RED   มากกว่า  3 ครั้ง ทำงานต่อ มีเสียง,,,
7,Localization & Mapping,Map Mismatch,แผนที่ไม่ตรงกับหน้างาน,nodered swap map ,ใส่วิธีแก้ปัญหา ,LED - RED  ตัดมอเตอร์,,,
8,Localization & Mapping,Marker / QR / RFID Not Found,ไม่พบ Marker / QR / RFID, dock log,ใส่วิธีแก้ปัญหา ,LED - RED  สีแดงวิ่งต่อได้ 4  รอบตัดมอเตอร์ alarm เสียง,,,
9,Localization & Mapping,Re-localization Failed,ระบุตำแหน่งใหม่ไม่สำเร็จ,กด reset lift ไม่ทำงานต่อ,ใส่วิธีแก้ปัญหา ,LED - RED  สีแดงวิ่งต่อไม่ได้  alram เสียง,,,
10,Navigation & Path Control,Path Blocked,เส้นทางถูกกีดขวาง,movebase  check  รวมข้อเดียวกัน,ใส่วิธีแก้ปัญหา ,LED - RED  สีแดงวิ่งต่อได้้,,,
