Alarm_ID,Category,Alarm_Name_EN,Alarm_Name_TH,Field_Name,Field_Sample,Field_Type,Field_Unit
1,Safety & Compliance,Emergency Stop Activated,ปุ่มหยุดฉุกเฉินถูกกด,Timestamp,2026-04-22 14:30:45,DateTime,yyyy-MM-dd HH:mm:ss
1,Safety & Compliance,Emergency Stop Activated,ปุ่มหยุดฉุกเฉินถูกกด,IO_Status,TRIGGERED,String,TRIGGERED/CLEARED
1,Safety & Compliance,Emergency Stop Activated,ปุ่มหยุดฉุกเฉินถูกกด,Button_State,PRESSED,String,PRESSED/RELEASED
1,Safety & Compliance,Emergency Stop Activated,ปุ่มหยุดฉุกเฉินถูกกด,Log_File,LOG_20260422_001.csv,String,filename
2,Safety & Compliance,Safety Scanner Triggered,เซฟตี้สแกนเนอร์ทำงาน,Timestamp,2026-04-22 14:35:20,DateTime,yyyy-MM-dd HH:mm:ss
2,Safety & Compliance,Safety Scanner Triggered,เซฟตี้สแกนเนอร์ทำงาน,Lidar_Status_Code,ERROR_001,String,ERROR_XXX
2,Safety & Compliance,Safety Scanner Triggered,เซฟตี้สแกนเนอร์ทำงาน,Error_Code,LIDAR_COMM_FAIL,String,Error description
2,Safety & Compliance,Safety Scanner Triggered,เซฟตี้สแกนเนอร์ทำงาน,Detection_Zone,ZONE_A_TRIGGERED,String,Zone name
3,Safety & Compliance,Safety Zone Violation,ละเมิดเขตความปลอดภัย,Timestamp,2026-04-22 15:10:15,DateTime,yyyy-MM-dd HH:mm:ss
3,Safety & Compliance,Safety Zone Violation,ละเมิดเขตความปลอดภัย,Wall_Zone_X,10.5,Float,meters
3,Safety & Compliance,Safety Zone Violation,ละเมิดเขตความปลอดภัย,Wall_Zone_Y,5.3,Float,meters
3,Safety & Compliance,Safety Zone Violation,ละเมิดเขตความปลอดภัย,Robot_Pose_X,10.45,Float,meters
3,Safety & Compliance,Safety Zone Violation,ละเมิดเขตความปลอดภัย,Robot_Pose_Y,5.25,Float,meters
3,Safety & Compliance,Safety Zone Violation,ละเมิดเขตความปลอดภัย,Robot_Pose_Theta,1.57,Float,radians
3,Safety & Compliance,Safety Zone Violation,ละเมิดเขตความปลอดภัย,Violation_Distance,0.08,Float,meters
