Alarm_ID,,Alarm_Name_EN,Alarm_Name_TH,Data_Field_1,Data_Field_2,Data_Field_3,Data_Field_4,Data_Field_5,LED_Color,Motor_Control
1,Safety & Compliance,Emergency Stop Activated,ปุ่มหยุดฉุกเฉินถูกกด,Timestamp,IO_Status,Button_State,CSV_Log_File,,RED,STOPPED
2,Safety & Compliance,Safety Scanner Triggered,เซฟตี้สแกนเนอร์ทำงาน,Timestamp,Lidar_Status_Code,Error_Code,Detection_Zone,,RED,STOPPED
3,Safety & Compliance,Safety Zone Violation,ละเมิดเขตความปลอดภัย,Timestamp,Wall_Zone_Coordinates,Robot_Pose_X,Robot_Pose_Y,Robot_Pose_Theta,RED,STOPPED
4,Safety & Compliance,Reduced Speed Zone Violation,ละเมิดโซนจำกัดความเร็ว,Timestamp,Speed_Zone_Coordinates,Robot_Pose_X,Current_Speed,Zone_Speed_Limit,RED,RUNNING
5,Localization & Mapping,Lost Localization,ไม่สามารถระบุตำแหน่งได้,Timestamp,AMCL_Pose_Available,Pose_Uncertainty,Last_Valid_Position,Log_File,RED,STOPPED
6,Localization & Mapping,Localization Accuracy Low,ความแม่นยำของตำแหน่งต่ำ,Timestamp,Current_Pose_Accuracy,Threshold_Value,Occurrence_Count,,RED,RUNNING
7,Localization & Mapping,Map Mismatch,แผนที่ไม่ตรงกับหน้างาน,Timestamp,Current_Map_ID,Expected_Map_ID,NoRed_Swap_Status,,RED,STOPPED
8,Localization & Mapping,Marker / QR / RFID Not Found,ไม่พบ Marker / QR / RFID,Timestamp,Expected_Marker_ID,Dock_Log_File,Scan_Attempts,,RED,RUNNING
9,Localization & Mapping,Re-localization Failed,ระบุตำแหน่งใหม่ไม่สำเร็จ,Timestamp,Lift_Reset_Status,Retry_Count,Log_File,,RED,STOPPED
10,Navigation & Path Control,Path Blocked,เส้นทางถูกกีดขวาง,Timestamp,Path_Coordinates,Goal_Coordinates,MoveBase_Status,Obstacle_Detection,RED,RUNNING
11,Motion & Drive System,Motor Overtemperature,มอเตอร์ร้อนเกิน,Timestamp,Current_Temperature_C,Temperature_Threshold,Error_Status_Code,,RED,STOPPED
12,Motion & Drive System,Drive Enable Fail,Drive Disable,Timestamp,Drive_Status_Code,Error_Details,Voltage_Reading,,RED,STOPPED
13,Motion & Drive System,Speed Feedback Error,ความเร็ว ผิดปกติ,Timestamp,Current_Velocity_ms,Expected_Velocity_ms,NodeRed_MS_Velocity,,RED,RUNNING
14,Battery & Charging,Battery Low,แบตเตอรี่ต่ำ,Timestamp,Battery_Percentage,Voltage_V,Current_A,Threshold_30Percent,YELLOW,RUNNING
15,Battery & Charging,Battery Critical,แบตเตอรี่ต่ำระดับวิกฤต,Timestamp,Battery_Percentage,Voltage_V,Current_A,Dock_Charging_Cycle,RED,STOPPED
16,Battery & Charging,Charging Current Abnormal,Current ผิดปกติ,Timestamp,Current_A,Expected_Current_Range,Voltage_V,,RED,STOPPED
17,Battery & Charging,Battery Communication Docking Error,Battery Communication Docking Error,Timestamp,Timeout_ms,Retry_Loop_Count,Communication_Status,,RED,STOPPED
18,Battery & Charging,Power Supply Voltage Drop,Power Supply Voltage Drop,Timestamp,Current_Voltage_V,Normal_Voltage_Range,Docking_Status,,RED,STOPPED
19,Battery & Charging,Auto Charging Failed,การชาร์จอัตโนมัติล้มเหลว,Timestamp,Charge_Type_AUTO,Dock_Status,Retry_Count,,RED,STOPPED
20,Sensor & Vision,Lidar Fault,Lidar ขัดข้อง,Timestamp,Lidar_Status_Code,Error_Details,Realtime_Check_Data,,RED,STOPPED
21,Sensor & Vision,Camera Offline,กล้องไม่ทำงาน,Timestamp,Camera_Status,Last_Frame_Timestamp,Error_Code,,RED,STOPPED
